"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1412","Get Request using the request: APIRequest","firefox","2026-03-13","passed","2026-03-13","","Practice/GetApiPractice.spec.ts","",""
"","1850","Update the booking details","chromium","2026-04-09","passed","2026-04-09","","updateBooking.spec.ts","",""
"","1026","Post request Using APIRequestContext (request fixture)","chromium","2026-03-23","passed","2026-03-23","","Practice/postApiPractice.spec.ts","",""
"","1141","Get API Practice1","firefox","2026-03-12","passed","2026-03-12","","Practice/GetApiPractice.spec.ts","",""
"","300","Get booking details from specific id","chromium","2026-04-02","passed","2026-04-02","","practice.spec.ts","",""
"","1554","Get all booking ids by filter using Name Params and Get booking details from specific id","chromium","2026-04-09","passed","2026-04-09","","getBookings.spec.ts","",""
"","2289","Get request","chromium","2026-04-02","passed","2026-04-02","","practice.spec.ts","",""
"","1543","Get Request using the request: APIRequest","chromium","2026-03-13","passed","2026-03-13","","Practice/GetApiPractice.spec.ts","",""
"","1040","Post request Using APIRequest (the factory)","chromium","2026-03-23","passed","2026-03-23","","Practice/postApiPractice.spec.ts","",""
"","1240","Create new booking details","chromium","2026-04-09","passed","2026-04-09","","createBooking.spec.ts","",""
"","1031","Get request using APIRequest (the factory)","chromium","2026-03-23","passed","2026-03-23","","Practice/getApiPractice.spec.ts","",""
"","1211","Get booking details from specific id","chromium","2026-04-08","failed","2026-04-08","","getBookings.spec.ts","",""
"","1659","Get Request 3 using the request: APIRequest","chromium","2026-03-13","passed","2026-03-13","","Practice/GetApiPractice.spec.ts","",""
"","1269","Get all booking ids by filter using Name Params","chromium","2026-04-02","passed","2026-04-02","","practice.spec.ts","",""
"","1189","Get API Practice1","chromium","2026-03-12","passed","2026-03-12","","Practice/GetApiPractice.spec.ts","",""
"","1067","Put request using the dynamic request body data","chromium","2026-04-02","passed","2026-04-02","","Practice/putApiPractice.spec.ts","",""
"","1243","Get all booking ids by filter using Name Params","chromium","2026-04-08","passed","2026-04-08","","getBookings.spec.ts","",""
"","1300","Using APIRequestContext","chromium","2026-03-23","passed","2026-03-23","","Practice/getApiPractice.spec.ts","",""
"","1133","Get request using APIRequest (the factory)","chromium","2026-03-13","passed","2026-03-13","","Practice/GetApiPractice.spec.ts","",""
"","1372","Using APIRequestContext","chromium","2026-03-13","passed","2026-03-13","","Practice/GetApiPractice.spec.ts","",""
